0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.13464,0.08147,-0.02997,-0.04546,-0.01594,-0.00097,0.00333,-0.04610,-0.06229,-0.03195,-0.09795,-0.05925,-0.02476,-0.05265,0.04427,-0.04508,0.19758,-0.03260,-0.04716,0.03981,0.00303,0.00924,-0.02653,0.17121,-0.00735,0.11382,0.06515,0.27063,-0.01925,0.00161,0.01032,0.03740,-0.02368,-0.00947,0.14926,-0.06373,-0.02025,0.04453,-0.02827,-0.09953,-0.06923,-0.02934,0.00926,0.12290,-0.03495,-0.05220,-0.02380,-0.06082,-0.05997,-0.03596,-0.07028,-0.05084,-0.01548,0.00667,-0.03649,0.00388,-0.04100,-0.01161,-0.04743,0.12458,-0.02777,-0.02464,0.01088,-0.06463,-0.00923,-0.03663,-0.02469,-0.04100,-0.04784,-0.04199,0.02664,-0.01139,0.00540,-0.07107,0.22501,-0.03209,-0.03061,0.01117,-0.02024,0.05700,-0.03248,0.02512,-0.02245,-0.03618,0.04555,0.15622,-0.04656,-0.00924,0.04312
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.01924,-0.01210,-0.01160,-0.02293,0.01330,-0.01974,-0.01979,-0.02515,-0.01453,-0.02552,-0.02342,-0.01759,-0.01467,0.03258,0.03933,-0.01330,0.00667,-0.02051,-0.01880,0.02295,-0.02364,-0.01198,-0.00753,0.09270,-0.01087,0.03320,0.14329,-0.01141,0.17575,-0.01893,0.02926,-0.01789,-0.01843,0.01486,-0.01634,-0.00817,-0.01660,-0.01038,-0.04031,-0.03127,-0.02126,-0.01837,-0.01041,-0.01946,0.02454,-0.00939,-0.01755,-0.02411,-0.00856,-0.02995,-0.02713,0.00503,-0.00712,-0.00680,0.01332,-0.02028,0.00275,-0.01982,-0.01432,0.00190,-0.00056,0.02725,-0.03420,-0.01725,-0.01313,0.00192,0.00697,-0.01045,-0.00659,-0.01079,-0.02089,0.04962,-0.02023,0.00970,0.01388,-0.00982,-0.00534,0.08905,0.00296,-0.00728,0.00775,-0.00985,0.00097,0.01537,0.00663,-0.02058,-0.01153,-0.01182
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.01503,-0.01863,0.07331,-0.00394,0.13238,0.00001,-0.02205,0.04429,-0.03278,0.01060,-0.03058,-0.00376,0.04947,-0.03883,0.05028,-0.02160,-0.00528,-0.01641,-0.02902,-0.00818,-0.00341,0.04258,0.03059,0.10964,-0.00844,0.01076,-0.01914,0.05411,0.21093,-0.00155,0.03915,0.02510,0.04506,-0.01626,-0.02103,0.05953,0.02702,-0.03912,-0.04629,0.02100,-0.01777,0.01486,-0.02717,-0.05411,0.00080,-0.04091,-0.02942,-0.01463,-0.04183,-0.01821,-0.01897,-0.01475,-0.03114,-0.01824,-0.00301,0.04751,-0.01884,-0.01464,-0.03079,-0.05852,-0.01483,-0.04860,-0.03975,0.03682,0.04295,-0.00114,-0.01395,-0.01858,0.07063,0.02099,-0.01375,0.00127,0.08104,-0.00472,0.03827,0.00220,-0.01249,0.05905,0.00148,-0.03097,-0.00154,0.01781,0.02298,-0.01906,-0.02594,-0.00957,0.13304
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.00234,-0.00810,-0.01518,-0.01710,0.02181,-0.02346,-0.01419,-0.02891,0.39056,-0.01449,-0.01476,-0.02727,-0.02145,-0.02207,0.02216,-0.02452,0.04873,-0.02517,-0.00890,-0.01337,-0.01551,-0.01542,-0.00881,-0.01835,-0.01727,-0.01063,-0.01780,-0.00925,-0.00596,-0.01712,-0.00896,-0.02080,0.00075,-0.01408,0.00086,0.00248,-0.01997,-0.00777,0.00036,-0.00876,0.00664,-0.01587,-0.02930,-0.00720,-0.01861,-0.01913,-0.00989,0.03429,-0.02922,-0.01410,-0.01505,-0.01780,0.02557,-0.00935,-0.01886,-0.01728,-0.01169,-0.01694,-0.03216,-0.02532,-0.01842,-0.02629,-0.01084,-0.00676,0.00551,-0.00290,-0.01761,0.03446,-0.01718,-0.01500,0.03820,-0.01105,-0.02055,-0.01492,-0.03526,0.00134,-0.01488,-0.01490,-0.01327,-0.00865,-0.02673,0.02583,-0.01615,-0.01858,-0.01126,-0.01578
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.01407,-0.02255,-0.00694,-0.02114,-0.03290,0.02454,-0.01277,-0.01316,-0.02545,0.00530,-0.03408,-0.02339,-0.01047,-0.01967,-0.03798,-0.03467,-0.02456,-0.02631,-0.01793,-0.02632,-0.00905,-0.01756,-0.03792,0.01559,-0.01547,-0.02696,-0.02229,-0.01551,0.05201,-0.02822,-0.03387,0.24353,-0.02186,-0.02050,0.01709,-0.04284,-0.03244,-0.02003,-0.02077,-0.01812,-0.02324,-0.04465,-0.01976,-0.03181,-0.02240,0.03689,-0.02958,0.00125,-0.02325,-0.02001,-0.01943,-0.02396,-0.02260,-0.02451,-0.02152,-0.02090,-0.00543,-0.04919,0.00782,0.20723,-0.03881,-0.00437,-0.01878,-0.02503,-0.01479,-0.02480,-0.02780,-0.01482,-0.02107,-0.02053,-0.02579,-0.02971,-0.02134,-0.04811,-0.00892,-0.01785,-0.01811,-0.02639,-0.00331,-0.04390,-0.01192,-0.01765,-0.03006,-0.02298,-0.02360
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.01212,0.12996,-0.04026,0.05987,0.06398,0.09733,-0.01288,-0.00468,-0.04239,0.01069,-0.05051,-0.02678,-0.03187,0.00351,0.00028,-0.00334,-0.04580,-0.01218,-0.02167,0.03134,-0.02175,0.00361,-0.02591,-0.02066,-0.00836,0.07563,-0.01383,0.06278,-0.04287,-0.04714,-0.04329,-0.02176,-0.02016,-0.00624,-0.07497,-0.05525,-0.03805,0.00769,0.00816,0.05252,-0.02139,-0.00589,-0.00240,-0.04004,-0.02102,-0.04350,0.32960,0.03256,0.00858,-0.00953,-0.01061,-0.01868,-0.03116,0.11801,-0.01789,-0.01641,-0.06740,0.05347,0.06875,-0.05321,-0.02944,0.01184,-0.02901,-0.03962,-0.00511,-0.03312,0.05627,-0.00321,-0.03252,-0.02795,0.03136,0.03663,-0.05100,-0.00710,0.02590,-0.00616,0.04433,-0.02697,0.07147,-0.01336,0.00212,-0.03444,0.04594,0.00579
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.02424,0.00150,-0.00795,0.00661,-0.02933,0.05995,0.01869,0.00026,-0.01510,-0.00972,0.00877,-0.00106,-0.00898,0.04505,0.00706,-0.02122,0.25642,0.00225,0.03622,0.00030,-0.01429,0.00842,-0.01230,0.01003,0.04282,0.00214,0.00772,-0.01061,-0.02784,0.00974,-0.01944,-0.01435,-0.01242,-0.02689,-0.03481,-0.02216,-0.01030,-0.00446,0.01219,0.04080,-0.01129,-0.01020,0.00606,-0.01288,-0.02868,0.03555,0.00259,0.00075,-0.00013,-0.00702,-0.01605,-0.02290,0.07049,0.04082,-0.01963,-0.00226,-0.00444,-0.04350,-0.00838,-0.01774,0.01051,0.10136,0.01911,0.04562,-0.01780,0.00878,0.05569,-0.00449,-0.01275,-0.01283,0.03042,-0.01714,-0.00782,-0.01594,0.05451,-0.01102,0.01199,0.04746,0.01858,0.02918,0.01800,-0.00466,0.01162
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.02900,0.00200,-0.01325,0.08928,-0.02638,-0.02310,-0.02836,0.04450,-0.03513,-0.01875,-0.02656,-0.00156,-0.04442,-0.03965,0.00165,0.00188,0.02586,0.06398,-0.00966,-0.03336,-0.00009,-0.01771,-0.03100,0.05829,0.01160,-0.00708,-0.03033,-0.02082,-0.03392,-0.01928,0.02474,-0.01886,-0.05361,-0.03824,-0.03454,0.00022,0.00408,-0.02541,-0.04866,-0.01677,-0.03912,-0.02100,-0.01825,-0.03833,0.03974,-0.02254,-0.02118,-0.01723,-0.02407,-0.00886,0.00243,-0.01853,-0.02165,-0.01775,-0.04785,0.00946,-0.03859,-0.04103,-0.01794,0.04278,-0.00340,-0.01382,-0.02404,-0.02604,0.00175,-0.00345,-0.04419,-0.01664,-0.03334,0.04182,-0.05729,-0.01009,0.09557,-0.00574,-0.02813,-0.00984,0.11193,-0.01383,0.04972,-0.02792,-0.01680,-0.01310
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,-0.04357,0.02154,-0.04454,0.01554,0.00285,-0.01591,-0.05163,-0.03288,0.03340,0.01356,-0.00270,-0.04510,-0.03796,-0.02754,0.04773,-0.01817,-0.01504,-0.01565,0.00043,-0.02852,-0.01034,-0.03073,-0.00780,-0.01850,0.07322,0.00448,-0.00890,-0.03427,-0.01969,-0.01537,-0.00685,0.21810,0.00955,-0.02600,-0.02487,-0.00821,-0.02661,0.04353,0.03379,-0.03542,0.10507,-0.01701,0.01964,-0.04907,-0.02110,0.02021,0.08340,-0.00293,0.06312,-0.03577,0.02865,-0.00468,-0.02180,-0.03723,-0.01219,-0.05170,-0.03378,-0.01735,-0.02616,-0.01436,0.03778,0.02701,0.16264,-0.02562,0.00519,-0.04441,-0.01006,0.01250,-0.01276,-0.04986,0.01370,-0.01701,0.00516,-0.02732,-0.01804,-0.01539,-0.01176,0.00105,0.03161,-0.01750,-0.02275
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.02275,0.04674,-0.02595,0.03347,-0.03602,-0.01985,-0.03775,-0.00953,-0.03518,0.04026,-0.05520,-0.03071,-0.04288,-0.02022,-0.01493,0.08653,0.02184,-0.02767,-0.04494,-0.01660,-0.03055,-0.02878,0.00973,0.00687,0.01024,-0.04842,-0.05069,0.08094,-0.02975,0.02447,-0.07565,-0.05092,-0.03372,-0.00069,-0.01573,-0.03500,-0.00412,-0.00021,0.55974,-0.04240,-0.02870,-0.02930,0.02244,-0.00188,-0.00769,-0.00758,0.00342,0.02431,-0.04795,-0.02837,-0.02791,-0.03563,-0.06379,-0.03092,-0.03209,-0.00551,-0.02914,-0.00833,0.06642,0.00312,0.00277,-0.01106,-0.02434,0.06262,-0.04782,-0.00987,0.00415,0.10190,-0.07285,-0.01686,-0.01573,-0.01126,-0.03742,0.03319,0.13707,-0.02221,0.07994,-0.03606,0.00373,-0.03480
